sea bay;river;catch year;PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14
taui bay;kulkuty;2009;-0,073188;-0,010942;0,028357;-0,033323;-0,015411;0,008736;0,001317;-0,005357;-0,027522;0,016749;-0,020155;0,016869;-0,010690;0,027395
taui bay;kulkuty;2009;0,067276;0,037921;0,039083;-0,034316;0,008016;0,068752;0,040395;0,007158;0,010504;-0,021738;0,047197;0,010238;0,015958;-0,003009
taui bay;kulkuty;2009;0,046775;-0,014525;0,000376;0,026703;0,020054;-0,030384;-0,002977;-0,005724;0,010706;0,000687;-0,017089;0,007546;-0,003960;0,005218
taui bay;kulkuty;2009;0,026378;-0,034837;0,011059;0,022909;0,032516;-0,000430;0,015342;0,004500;0,008862;0,019022;-0,014144;0,000463;0,001479;0,000438
taui bay;kulkuty;2009;-0,042785;0,028855;-0,000178;0,035176;0,020757;0,010007;-0,025809;-0,004767;0,003593;-0,037273;-0,001130;-0,007670;0,013824;0,032484
taui bay;kulkuty;2009;0,049082;-0,029400;-0,029456;-0,030016;0,015941;0,010606;0,008343;-0,001947;-0,002808;-0,014435;-0,014338;-0,024008;0,005477;0,013334
taui bay;kulkuty;2009;-0,027645;0,048205;0,014237;-0,007343;-0,015073;-0,016428;-0,016685;-0,017448;0,011660;0,000939;0,003772;0,013463;-0,001927;-0,006614
taui bay;kulkuty;2009;-0,013026;0,014652;0,047508;-0,011625;0,015809;0,024883;0,019514;-0,014282;-0,023078;0,011141;-0,034455;0,019573;-0,000377;0,001880
taui bay;kulkuty;2009;-0,142827;0,036597;0,011312;-0,037113;0,016627;-0,037401;0,016658;0,017738;0,002253;-0,007349;-0,011301;0,009520;0,019506;0,028568
taui bay;kulkuty;2009;-0,025880;-0,042371;-0,010407;0,027704;0,009105;0,005267;-0,015572;0,005551;-0,005946;0,009166;-0,003181;-0,002944;-0,004691;0,001924
taui bay;kulkuty;2009;0,066588;-0,010330;-0,013448;-0,020335;-0,011567;0,008916;-0,018188;-0,007330;-0,008620;-0,011802;-0,022846;-0,010420;0,002916;0,008012
taui bay;kulkuty;2009;-0,015526;-0,030525;-0,040290;0,022833;0,003893;0,031261;0,001847;-0,006701;0,008219;0,011402;0,001025;-0,007042;-0,006606;0,013748
taui bay;kulkuty;2009;-0,067449;0,038885;-0,005172;-0,009310;-0,014700;-0,030010;-0,020115;0,000097;-0,002427;-0,003312;0,007254;0,009218;0,003298;0,002292
taui bay;kulkuty;2009;0,003072;-0,007916;-0,101214;-0,038704;-0,020506;-0,035665;-0,000550;-0,006480;-0,018387;0,003481;0,008542;0,003707;0,010634;-0,006919
shelikhova bay;nayakhan;2007;0,023263;0,059398;0,027803;0,048990;0,012088;-0,011273;-0,028467;0,008483;0,001354;0,004549;-0,012288;0,004429;-0,017788;-0,003039
shelikhova bay;nayakhan;2007;0,019135;-0,047376;0,006873;0,026037;-0,001844;0,028453;0,008214;-0,004934;-0,000493;0,020272;-0,003006;0,007127;0,003625;0,001683
shelikhova bay;nayakhan;2007;0,065384;-0,031228;0,008485;-0,022406;0,026850;0,010136;0,018298;-0,038439;0,010528;-0,010711;-0,016556;-0,014747;0,010677;-0,007263
shelikhova bay;nayakhan;2007;0,042310;0,002751;-0,006097;0,008347;-0,030006;0,006149;0,024413;-0,005842;0,012665;-0,005857;0,008968;0,002118;0,006430;0,001528
shelikhova bay;nayakhan;2007;0,056769;0,024552;0,011056;-0,004885;0,001242;-0,018253;-0,042990;0,009246;-0,020735;-0,011732;0,007651;-0,010476;-0,004650;-0,003894
shelikhova bay;nayakhan;2007;0,064707;-0,006563;0,037008;-0,020597;0,022267;-0,022018;-0,021715;0,023541;0,023227;0,004711;-0,000721;0,016499;-0,005570;-0,020482
shelikhova bay;nayakhan;2007;-0,094370;0,024473;-0,027804;0,009062;-0,014982;-0,015677;0,004446;-0,003999;-0,000270;0,007984;-0,000429;0,022314;0,014455;0,006176
shelikhova bay;nayakhan;2007;0,001515;-0,031253;0,021646;0,037750;-0,015978;-0,013591;0,001924;0,012030;-0,014630;0,001890;-0,003218;0,007528;-0,001392;0,001983
shelikhova bay;nayakhan;2007;-0,020485;0,016891;0,032062;0,031400;0,028967;-0,011259;-0,015905;0,025901;0,006484;-0,009121;0,005676;-0,004088;0,015337;0,012682
shelikhova bay;nayakhan;2007;0,019405;-0,041765;0,045895;-0,031113;-0,009198;-0,003883;-0,031692;0,000297;0,047866;0,010627;0,018006;0,027928;-0,008149;0,000152
shelikhova bay;nayakhan;2007;-0,087921;0,024881;0,024502;-0,000261;-0,002251;-0,000009;0,010283;0,025234;-0,004304;-0,024865;-0,012412;-0,013193;0,019645;0,010864
shelikhova bay;nayakhan;2007;0,054223;0,011696;0,030146;-0,026171;0,048523;0,015065;0,022724;-0,000329;0,008595;0,014428;0,040713;0,004649;0,013816;0,017100
